,i,train_count,epochs,x_wins,o_wins,draws
0,0,5000,10,545,286,169
1,1,5000,10,458,482,60
2,2,5000,10,426,484,90
3,3,5000,10,424,427,149
4,4,5000,10,474,408,118
5,5,5000,10,467,434,99
6,6,5000,10,377,442,181
7,7,5000,10,448,411,141
8,8,5000,10,458,450,92
9,9,5000,10,473,427,100
