,i,train_count,epochs,x_wins,o_wins,draws
0,0,100,10,701,231,68
1,1,100,10,565,364,71
2,2,100,10,434,460,106
3,3,100,10,483,354,163
4,4,100,10,629,228,143
5,5,100,10,691,213,96
6,6,100,10,598,232,170
7,7,100,10,755,106,139
8,8,100,10,511,316,173
9,9,100,10,545,221,234
10,0,200,10,575,275,150
11,1,200,10,598,302,100
12,2,200,10,628,246,126
13,3,200,10,561,356,83
14,4,200,10,569,368,63
15,5,200,10,490,329,181
16,6,200,10,714,219,67
17,7,200,10,481,378,141
18,8,200,10,620,246,134
19,9,200,10,504,400,96
20,0,500,10,606,325,69
21,1,500,10,629,250,121
22,2,500,10,693,163,144
23,3,500,10,703,260,37
24,4,500,10,502,291,207
25,5,500,10,663,230,107
26,6,500,10,719,167,114
27,7,500,10,801,107,92
28,8,500,10,604,263,133
29,9,500,10,678,184,138
30,0,1000,10,545,324,131
31,1,1000,10,695,185,120
32,2,1000,10,505,354,141
33,3,1000,10,855,116,29
34,4,1000,10,633,261,106
35,5,1000,10,653,232,115
36,6,1000,10,750,188,62
37,7,1000,10,778,168,54
38,8,1000,10,751,133,116
39,9,1000,10,708,139,153
40,0,2000,10,827,141,32
41,1,2000,10,812,95,93
42,2,2000,10,721,202,77
43,3,2000,10,852,112,36
44,4,2000,10,790,128,82
45,5,2000,10,727,162,111
46,6,2000,10,833,107,60
47,7,2000,10,741,153,106
48,8,2000,10,800,90,110
49,9,2000,10,772,115,113
50,0,3000,10,902,71,27
51,1,3000,10,797,101,102
52,2,3000,10,586,244,170
53,3,3000,10,681,217,102
54,4,3000,10,840,108,52
55,5,3000,10,825,126,49
56,6,3000,10,749,105,146
57,7,3000,10,793,125,82
58,8,3000,10,754,171,75
59,9,3000,10,753,203,44
60,0,5000,10,818,114,68
61,1,5000,10,864,59,77
62,2,5000,10,676,234,90
63,3,5000,10,737,162,101
64,4,5000,10,848,91,61
65,5,5000,10,871,17,112
66,6,5000,10,852,35,113
67,7,5000,10,717,195,88
68,8,5000,10,826,90,84
69,9,5000,10,701,164,135
70,0,7500,10,886,28,86
71,1,7500,10,923,24,53
72,2,7500,10,887,72,41
73,3,7500,10,915,54,31
74,4,7500,10,933,52,15
75,5,7500,10,860,95,45
76,6,7500,10,961,28,11
77,7,7500,10,714,179,107
78,8,7500,10,899,56,45
79,9,7500,10,936,51,13
80,0,10000,10,899,84,17
81,1,10000,10,900,70,30
82,2,10000,10,871,57,72
83,3,10000,10,864,96,40
84,4,10000,10,927,33,40
85,5,10000,10,874,64,62
86,6,10000,10,900,55,45
87,7,10000,10,913,34,53
88,8,10000,10,761,144,95
89,9,10000,10,884,105,11
