,i,train_count,epochs,x_wins,o_wins,draws
0,0,100,10,424,216,360
1,1,100,10,539,294,167
2,2,100,10,740,197,63
3,3,100,10,600,259,141
4,4,100,10,537,276,187
5,5,100,10,707,238,55
6,6,100,10,603,260,137
7,7,100,10,536,324,140
8,8,100,10,650,217,133
9,9,100,10,637,226,137
10,0,200,10,418,429,153
11,1,200,10,531,307,162
12,2,200,10,643,263,94
13,3,200,10,719,143,138
14,4,200,10,558,280,162
15,5,200,10,480,292,228
16,6,200,10,595,256,149
17,7,200,10,554,352,94
18,8,200,10,681,122,197
19,9,200,10,688,263,49
20,0,500,10,470,343,187
21,1,500,10,597,330,73
22,2,500,10,565,363,72
23,3,500,10,508,332,160
24,4,500,10,479,227,294
25,5,500,10,687,282,31
26,6,500,10,492,267,241
27,7,500,10,462,444,94
28,8,500,10,591,300,109
29,9,500,10,467,349,184
30,0,1000,10,438,368,194
31,1,1000,10,541,377,82
32,2,1000,10,567,199,234
33,3,1000,10,418,398,184
34,4,1000,10,451,370,179
35,5,1000,10,437,451,112
36,6,1000,10,410,404,186
37,7,1000,10,661,286,53
38,8,1000,10,331,496,173
39,9,1000,10,428,361,211
40,0,2000,10,497,298,205
41,1,2000,10,429,360,211
42,2,2000,10,438,329,233
43,3,2000,10,479,348,173
44,4,2000,10,403,453,144
45,5,2000,10,539,317,144
46,6,2000,10,422,335,243
47,7,2000,10,430,499,71
48,8,2000,10,544,273,183
49,9,2000,10,401,462,137
50,0,3000,10,445,403,152
51,1,3000,10,337,404,259
52,2,3000,10,340,447,213
53,3,3000,10,555,193,252
54,4,3000,10,387,410,203
55,5,3000,10,557,311,132
56,6,3000,10,337,417,246
57,7,3000,10,317,309,374
58,8,3000,10,456,314,230
59,9,3000,10,347,394,259
60,0,5000,10,246,476,278
61,1,5000,10,362,356,282
62,2,5000,10,270,435,295
63,3,5000,10,237,582,181
64,4,5000,10,365,429,206
65,5,5000,10,313,499,188
66,6,5000,10,199,570,231
67,7,5000,10,291,596,113
68,8,5000,10,342,411,247
69,9,5000,10,346,456,198
70,0,7500,10,137,686,177
71,1,7500,10,276,510,214
72,2,7500,10,145,467,388
73,3,7500,10,179,585,236
74,4,7500,10,144,538,318
75,5,7500,10,152,626,222
76,6,7500,10,399,353,248
77,7,7500,10,238,550,212
78,8,7500,10,328,481,191
79,9,7500,10,191,456,353
80,0,10000,10,288,493,219
81,1,10000,10,236,534,230
82,2,10000,10,217,396,387
83,3,10000,10,245,582,173
84,4,10000,10,251,549,200
85,5,10000,10,177,628,195
86,6,10000,10,244,363,393
87,7,10000,10,194,572,234
88,8,10000,10,255,544,201
89,9,10000,10,201,558,241
