,i,train_count,epochs,x_wins,o_wins,draws
0,0,5000,10,992,0,8
1,1,5000,10,973,2,25
2,2,5000,10,920,30,50
3,3,5000,10,980,3,17
4,4,5000,10,966,22,12
5,5,5000,10,985,2,13
6,6,5000,10,971,0,29
7,7,5000,10,982,13,5
8,8,5000,10,981,7,12
9,9,5000,10,980,16,4
