,i,train_count,epochs,x_wins,o_wins,draws
0,0,5000,10,523,435,42
1,1,5000,10,522,439,39
2,2,5000,10,511,453,36
3,3,5000,10,500,452,48
4,4,5000,10,525,441,34
5,5,5000,10,531,427,42
6,6,5000,10,534,425,41
7,7,5000,10,512,452,36
8,8,5000,10,541,423,36
9,9,5000,10,523,432,45
