,i,train_count,epochs,x_wins,o_wins,draws,hidden_one_size,hidden_two_size,in_shape
131,1,5000,10,918,49,33,75,50,9
132,2,5000,10,868,26,106,75,50,9
133,3,5000,10,792,82,126,75,50,9
134,4,5000,10,866,65,69,75,50,9
135,0,5000,10,900,14,86,75,100,9
136,1,5000,10,905,37,58,75,100,9
137,2,5000,10,851,70,79,75,100,9
138,3,5000,10,952,44,4,75,100,9
139,4,5000,10,896,50,54,75,100,9
140,0,5000,10,942,37,21,75,200,9
141,1,5000,10,918,32,50,75,200,9
142,2,5000,10,930,23,47,75,200,9
143,3,5000,10,828,101,71,75,200,9
144,4,5000,10,957,13,30,75,200,9
145,0,5000,10,973,8,19,75,500,9
146,1,5000,10,947,19,34,75,500,9
147,2,5000,10,957,16,27,75,500,9
148,3,5000,10,977,7,16,75,500,9
149,4,5000,10,969,19,12,75,500,9
150,0,5000,10,757,97,146,100,10,9
151,1,5000,10,785,70,145,100,10,9
152,2,5000,10,709,197,94,100,10,9
153,3,5000,10,855,40,105,100,10,9
154,4,5000,10,738,193,69,100,10,9
155,0,5000,10,912,37,51,100,20,9
156,1,5000,10,726,243,31,100,20,9
157,2,5000,10,864,100,36,100,20,9
158,3,5000,10,806,110,84,100,20,9
159,4,5000,10,819,106,75,100,20,9
160,0,5000,10,873,85,42,100,50,9
161,1,5000,10,926,55,19,100,50,9
162,2,5000,10,900,54,46,100,50,9
163,3,5000,10,851,67,82,100,50,9
164,4,5000,10,908,69,23,100,50,9
165,0,5000,10,930,33,37,100,100,9
166,1,5000,10,855,65,80,100,100,9
167,2,5000,10,813,95,92,100,100,9
168,3,5000,10,890,42,68,100,100,9
169,4,5000,10,959,19,22,100,100,9
170,0,5000,10,922,36,42,100,200,9
171,1,5000,10,937,33,30,100,200,9
172,2,5000,10,901,66,33,100,200,9
173,3,5000,10,938,49,13,100,200,9
174,4,5000,10,960,22,18,100,200,9
175,0,5000,10,951,11,38,100,500,9
176,1,5000,10,975,12,13,100,500,9
177,2,5000,10,914,53,33,100,500,9
178,3,5000,10,931,32,37,100,500,9
179,4,5000,10,953,26,21,100,500,9
180,0,5000,10,744,204,52,150,10,9
181,1,5000,10,858,76,66,150,10,9
182,2,5000,10,489,318,193,150,10,9
183,3,5000,10,910,50,40,150,10,9
184,4,5000,10,914,24,62,150,10,9
185,0,5000,10,840,100,60,150,20,9
186,1,5000,10,777,119,104,150,20,9
187,2,5000,10,934,39,27,150,20,9
188,3,5000,10,924,53,23,150,20,9
189,4,5000,10,888,88,24,150,20,9
190,0,5000,10,860,70,70,150,50,9
191,1,5000,10,982,0,18,150,50,9
192,2,5000,10,925,13,62,150,50,9
193,3,5000,10,920,67,13,150,50,9
194,4,5000,10,819,56,125,150,50,9
195,0,5000,10,868,63,69,150,100,9
196,1,5000,10,938,45,17,150,100,9
197,2,5000,10,924,40,36,150,100,9
198,3,5000,10,936,31,33,150,100,9
199,4,5000,10,949,38,13,150,100,9
200,0,5000,10,966,22,12,150,200,9
201,1,5000,10,964,17,19,150,200,9
202,2,5000,10,973,18,9,150,200,9
203,3,5000,10,970,15,15,150,200,9
204,4,5000,10,974,21,5,150,200,9
205,0,5000,10,968,6,26,150,500,9
206,1,5000,10,949,39,12,150,500,9
207,2,5000,10,961,17,22,150,500,9
208,3,5000,10,965,5,30,150,500,9
209,4,5000,10,971,11,18,150,500,9
210,0,5000,10,463,242,295,200,10,9
211,1,5000,10,954,39,7,200,10,9
212,2,5000,10,760,89,151,200,10,9
213,3,5000,10,750,91,159,200,10,9
214,4,5000,10,800,122,78,200,10,9
215,0,5000,10,869,87,44,200,20,9
216,1,5000,10,790,94,116,200,20,9
217,2,5000,10,821,89,90,200,20,9
218,3,5000,10,935,37,28,200,20,9
219,4,5000,10,961,21,18,200,20,9
220,0,5000,10,930,57,13,200,50,9
221,1,5000,10,923,49,28,200,50,9
222,2,5000,10,915,44,41,200,50,9
223,3,5000,10,918,40,42,200,50,9
224,4,5000,10,954,26,20,200,50,9
225,0,5000,10,939,32,29,200,100,9
226,1,5000,10,942,26,32,200,100,9
227,2,5000,10,946,37,17,200,100,9
228,3,5000,10,926,41,33,200,100,9
229,4,5000,10,954,17,29,200,100,9
230,0,5000,10,984,5,11,200,200,9
231,1,5000,10,938,21,41,200,200,9
232,2,5000,10,854,46,100,200,200,9
233,3,5000,10,959,30,11,200,200,9
234,4,5000,10,960,22,18,200,200,9
235,0,5000,10,963,9,28,200,500,9
236,1,5000,10,939,42,19,200,500,9
237,2,5000,10,965,16,19,200,500,9
238,3,5000,10,980,5,15,200,500,9
239,4,5000,10,994,1,5,200,500,9
240,0,5000,10,777,106,117,300,10,9
241,1,5000,10,926,15,59,300,10,9
242,2,5000,10,853,73,74,300,10,9
243,3,5000,10,924,39,37,300,10,9
244,4,5000,10,915,28,57,300,10,9
245,0,5000,10,892,64,44,300,20,9
246,1,5000,10,837,98,65,300,20,9
247,2,5000,10,887,35,78,300,20,9
248,3,5000,10,955,10,35,300,20,9
249,4,5000,10,908,76,16,300,20,9
250,0,5000,10,924,48,28,300,50,9
251,1,5000,10,929,25,46,300,50,9
252,2,5000,10,911,36,53,300,50,9
253,3,5000,10,880,41,79,300,50,9
254,4,5000,10,910,18,72,300,50,9
255,0,5000,10,909,50,41,300,100,9
256,1,5000,10,930,41,29,300,100,9
257,2,5000,10,971,8,21,300,100,9
258,3,5000,10,879,87,34,300,100,9
259,4,5000,10,889,49,62,300,100,9
260,0,5000,10,957,28,15,300,200,9
261,1,5000,10,943,30,27,300,200,9
262,2,5000,10,957,13,30,300,200,9
263,3,5000,10,977,8,15,300,200,9
264,4,5000,10,972,19,9,300,200,9
265,0,5000,10,968,15,17,300,500,9
266,1,5000,10,970,17,13,300,500,9
267,2,5000,10,953,10,37,300,500,9
268,3,5000,10,938,23,39,300,500,9
269,4,5000,10,969,4,27,300,500,9
270,0,5000,10,878,42,80,500,10,9
271,1,5000,10,912,65,23,500,10,9
272,2,5000,10,963,17,20,500,10,9
273,3,5000,10,707,164,129,500,10,9
274,4,5000,10,871,78,51,500,10,9
275,0,5000,10,738,180,82,500,20,9
276,1,5000,10,951,43,6,500,20,9
277,2,5000,10,822,72,106,500,20,9
278,3,5000,10,961,25,14,500,20,9
279,4,5000,10,868,75,57,500,20,9
280,0,5000,10,954,14,32,500,50,9
281,1,5000,10,939,35,26,500,50,9
282,2,5000,10,941,27,32,500,50,9
283,3,5000,10,963,21,16,500,50,9
284,4,5000,10,735,141,124,500,50,9
285,0,5000,10,909,30,61,500,100,9
286,1,5000,10,945,20,35,500,100,9
287,2,5000,10,965,12,23,500,100,9
288,3,5000,10,916,14,70,500,100,9
289,4,5000,10,959,28,13,500,100,9
290,0,5000,10,960,24,16,500,200,9
291,1,5000,10,980,12,8,500,200,9
292,2,5000,10,975,15,10,500,200,9
293,3,5000,10,935,30,35,500,200,9
294,4,5000,10,948,18,34,500,200,9
295,0,5000,10,977,11,12,500,500,9
296,1,5000,10,972,8,20,500,500,9
297,2,5000,10,979,6,15,500,500,9
298,3,5000,10,969,9,22,500,500,9
299,4,5000,10,964,17,19,500,500,9
