,i,train_count,epochs,x_wins,o_wins,draws,loss,in_shape
106,1,5000,10,77,643,280,logcosh,9
107,2,5000,10,83,521,396,logcosh,9
108,3,5000,10,84,719,197,logcosh,9
109,4,5000,10,167,658,175,logcosh,9
110,0,5000,10,556,405,39,logcosh,18
111,1,5000,10,523,438,39,logcosh,18
112,2,5000,10,523,443,34,logcosh,18
113,3,5000,10,520,441,39,logcosh,18
114,4,5000,10,520,439,41,logcosh,18
115,0,5000,10,428,422,150,logcosh,27
116,1,5000,10,469,316,215,logcosh,27
117,2,5000,10,445,336,219,logcosh,27
118,3,5000,10,316,443,241,logcosh,27
119,4,5000,10,350,380,270,logcosh,27
